playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,4,0,2,3,0,3,13,0,4,5,0,3,6,1,13,0,13,15,1,0,2,2,GreedyAGENT
3,14,3,4,4,3,1,13,3,2,5,3,1,7,1,11,0,15,13,2,0,1,1,CortaAGENT
3,12,2,4,3,2,1,15,2,2,11,2,3,8,1,11,0,15,0,2,0,1,0,CarefulAGENT
1,6,0,2,14,1,3,15,3,4,2,1,2,9,1,0,0,13,15,0,0,1,1,RandomAGENT
2,12,3,3,13,2,4,4,1,1,11,0,3,10,1,0,4,0,0,0,1,0,0,GreedyAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,4,3,2,5,3,3,2,3,4,3,3,2,1,1,12,4,12,6,3,2,3,2,CarefulAGENT
2,14,0,3,12,0,4,5,0,1,3,0,1,2,1,13,13,13,12,3,3,2,1,GreedyAGENT
2,15,0,3,2,0,4,13,0,1,13,3,1,3,1,13,13,13,12,2,3,2,1,CarefulAGENT
2,12,1,3,2,1,4,11,1,1,15,1,4,4,1,4,13,13,12,1,3,2,1,GreedyAGENT
1,6,2,2,3,2,3,2,2,4,5,2,1,5,1,11,4,12,6,1,1,3,1,CarefulAGENT
1,15,3,2,14,3,3,6,3,4,12,3,1,6,1,11,4,12,6,1,1,2,1,GreedyAGENT
1,15,2,2,11,2,3,4,2,4,13,2,1,7,1,11,4,12,0,1,1,2,0,CarefulAGENT
1,14,1,2,5,1,3,4,1,4,13,1,1,8,1,11,4,12,0,1,1,1,0,RandomAGENT
1,3,1,2,6,0,3,11,0,4,6,1,4,9,1,11,0,12,0,1,0,1,0,GreedyAGENT
4,4,0,1,14,2,2,11,3,3,12,2,1,10,1,0,0,0,11,0,0,0,1,CortaAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,3,1,2,12,1,3,2,1,4,5,1,2,1,0,14,14,15,13,1,5,1,3,CarefulAGENT
2,15,1,3,14,1,4,5,2,1,4,1,1,2,0,15,0,5,14,4,0,2,3,GreedyAGENT
2,11,0,3,14,0,4,15,0,1,5,0,3,3,0,15,0,4,14,4,0,1,3,CortaAGENT
4,3,0,1,6,3,2,13,0,3,3,3,3,4,0,13,0,13,0,3,0,4,0,CarefulAGENT
2,2,2,3,15,2,4,4,2,1,6,2,2,5,0,6,0,4,14,2,0,1,3,GreedyAGENT
3,11,1,4,6,0,1,3,2,2,11,2,2,6,0,0,0,14,15,0,0,2,3,CortaAGENT
4,2,0,1,14,2,2,12,0,3,13,1,3,7,0,12,0,13,0,2,0,2,0,CarefulAGENT
2,4,0,3,6,1,4,5,3,1,4,3,1,8,0,0,0,0,14,0,0,0,3,RandomAGENT
2,12,2,3,13,3,4,14,3,1,15,3,1,9,0,0,0,0,14,0,0,0,2,GreedyAGENT
2,13,2,3,12,3,4,2,3,1,11,3,1,10,0,0,0,0,2,0,0,0,1,CortaAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,3,0,2,6,0,3,2,0,4,4,0,2,1,0,13,13,15,15,2,2,3,3,CarefulAGENT
2,12,0,3,13,0,4,11,0,1,15,0,4,2,0,11,12,6,14,1,3,3,2,GreedyAGENT
1,14,0,2,11,1,3,5,1,4,3,1,1,3,0,0,13,15,15,0,2,3,3,CortaAGENT
1,15,1,2,2,1,3,13,1,4,4,1,1,4,0,0,13,15,15,0,1,3,3,CarefulAGENT
1,6,3,2,12,3,3,15,3,4,14,3,3,5,0,0,0,15,15,0,0,3,3,GreedyAGENT
3,4,2,4,5,2,1,14,2,2,13,2,3,6,0,5,0,14,5,1,0,3,1,CortaAGENT
1,5,0,2,2,3,3,3,3,4,6,2,1,7,0,0,0,15,13,0,0,2,2,CarefulAGENT
1,11,2,2,6,1,3,3,2,4,2,2,1,8,0,0,0,15,13,0,0,2,1,RandomAGENT
1,12,2,2,14,1,3,15,2,4,11,3,3,9,0,0,0,15,13,0,0,1,1,GreedyAGENT
3,13,3,4,12,1,1,5,3,2,4,3,1,10,0,0,0,0,5,0,0,0,1,CortaAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,6,1,2,5,1,3,2,1,4,3,1,1,1,1,4,13,12,13,2,4,3,1,CarefulAGENT
1,13,0,2,15,0,3,4,0,4,14,0,2,2,1,4,13,12,13,2,3,3,1,RandomAGENT
2,11,1,3,13,1,4,15,1,1,14,1,3,3,1,12,15,4,15,4,1,1,2,GreedyAGENT
4,15,3,1,2,3,2,12,3,3,13,3,1,4,1,11,0,15,14,1,0,3,3,CarefulAGENT
4,5,0,1,5,2,2,11,0,3,3,0,3,5,1,11,0,15,14,1,0,3,2,GreedyAGENT
2,15,2,3,3,2,4,4,2,1,14,2,1,6,1,12,0,4,3,3,0,1,1,CarefulAGENT
2,2,2,3,12,2,4,3,3,1,13,2,4,7,1,12,0,0,3,3,0,0,1,GreedyAGENT
1,4,3,2,14,3,3,4,1,4,2,0,3,8,1,0,12,11,0,0,2,1,0,CortaAGENT
3,12,1,4,6,0,1,11,3,2,6,2,1,9,1,0,0,0,11,0,0,0,2,CarefulAGENT
3,11,2,4,12,0,1,5,3,2,6,3,1,10,1,0,0,0,5,0,0,0,1,RandomAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,2,3,2,3,3,3,11,3,4,5,3,3,1,2,15,4,14,11,5,1,3,1,CarefulAGENT
3,6,2,4,12,2,1,15,2,2,13,2,3,2,2,0,15,15,13,0,4,4,1,RandomAGENT
1,3,2,2,3,0,3,14,2,4,5,2,3,3,2,15,4,14,0,5,1,2,0,GreedyAGENT
3,2,2,4,14,0,1,4,2,2,6,3,3,4,2,0,15,11,13,0,4,2,1,CortaAGENT
1,15,1,2,12,1,3,4,1,4,3,1,1,5,2,15,4,0,0,5,1,0,0,CarefulAGENT
1,13,3,2,15,3,3,6,0,4,12,3,2,6,2,15,0,0,0,5,0,0,0,RandomAGENT
2,14,3,3,4,0,4,6,1,1,11,2,4,7,2,13,6,0,0,1,3,0,0,GreedyAGENT
1,11,1,2,11,0,3,12,0,4,2,1,1,8,2,15,0,0,0,3,0,0,0,CortaAGENT
1,13,1,2,4,3,3,5,0,4,5,1,1,9,2,15,0,0,0,2,0,0,0,CarefulAGENT
1,14,1,2,2,0,3,15,0,4,13,0,1,10,2,15,0,0,0,1,0,0,0,RandomAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,2,1,2,5,1,3,3,1,4,4,1,2,1,2,15,15,13,14,3,2,1,4,CarefulAGENT
2,6,1,3,15,1,4,2,2,1,12,1,3,2,2,11,0,12,5,2,0,4,3,GreedyAGENT
4,11,0,1,5,0,2,13,0,3,2,0,3,3,2,13,14,15,15,3,2,1,2,CarefulAGENT
2,15,2,3,13,2,4,3,2,1,5,2,1,4,2,4,0,12,5,1,0,3,3,GreedyAGENT
2,13,1,3,15,0,4,4,0,1,11,1,1,5,2,4,0,12,5,1,0,2,3,CortaAGENT
2,12,3,3,2,3,4,4,3,1,13,3,4,6,2,0,0,12,5,0,0,2,3,CarefulAGENT
1,6,2,2,12,0,3,14,0,4,12,2,4,7,2,14,0,0,14,1,0,0,3,RandomAGENT
4,4,2,1,11,2,2,14,1,3,6,3,2,8,2,6,14,0,15,1,1,0,1,GreedyAGENT
1,14,2,2,15,3,3,14,3,4,5,3,1,9,2,0,0,0,14,0,0,0,2,CortaAGENT
1,3,0,2,6,0,3,11,3,4,3,3,2,10,2,0,0,0,11,0,0,0,1,CarefulAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,5,0,2,3,0,3,2,0,4,4,0,1,1,0,11,13,3,4,3,4,1,2,CarefulAGENT
1,12,1,2,15,1,3,11,1,4,14,1,2,2,0,11,13,3,4,2,4,1,2,RandomAGENT
2,3,1,3,13,1,4,6,1,1,14,0,4,3,0,15,6,14,14,2,1,3,2,GreedyAGENT
1,12,0,2,4,1,3,11,0,4,15,0,4,4,0,11,5,3,4,2,2,1,2,CortaAGENT
4,2,2,1,5,2,2,13,2,3,3,2,3,5,0,0,0,13,11,0,0,3,3,CarefulAGENT
2,6,2,3,6,0,4,14,2,1,15,2,2,6,0,13,0,14,14,1,0,2,2,RandomAGENT
3,2,3,4,14,3,1,15,3,2,3,3,3,7,0,0,0,11,15,0,0,1,3,GreedyAGENT
1,6,3,2,11,3,3,4,3,4,13,3,4,8,0,0,5,0,4,0,2,0,1,CarefulAGENT
4,12,2,1,11,2,2,4,2,3,2,1,1,9,0,0,0,4,5,0,0,1,1,RandomAGENT
4,13,0,1,12,3,2,5,3,3,5,1,1,10,0,0,0,0,5,0,0,0,1,GreedyAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,5,0,2,2,0,3,13,0,4,3,0,3,1,3,13,15,13,2,1,4,4,1,CarefulAGENT
3,5,1,4,13,1,1,11,1,2,12,1,2,2,3,15,11,12,13,2,2,2,3,RandomAGENT
4,12,3,1,13,3,2,14,3,3,2,3,3,3,3,12,0,15,14,3,0,1,4,GreedyAGENT
2,6,0,3,4,1,4,4,0,1,14,0,4,4,3,4,6,14,15,1,2,3,1,CortaAGENT
1,2,1,2,11,3,3,14,1,4,3,1,2,5,3,0,15,13,0,0,2,4,0,CarefulAGENT
2,5,3,3,2,2,4,15,3,1,6,3,3,6,3,0,6,14,15,0,1,3,1,RandomAGENT
4,5,2,1,3,2,2,15,2,3,13,2,3,7,3,12,0,15,4,2,0,1,1,GreedyAGENT
2,11,0,3,11,2,4,6,2,1,15,0,4,8,3,0,6,14,0,0,1,2,0,CortaAGENT
1,3,3,2,4,3,3,4,2,4,14,2,2,9,3,0,15,4,0,0,1,1,0,CarefulAGENT
2,12,0,3,15,1,4,6,1,1,12,2,1,10,3,0,6,0,0,0,1,0,0,RandomAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,6,1,2,2,1,3,11,1,4,3,1,3,1,1,15,11,15,15,3,1,1,5,CarefulAGENT
3,4,3,4,3,3,1,14,3,2,6,3,3,2,1,5,12,13,14,4,1,2,2,RandomAGENT
1,12,1,2,14,1,3,11,3,4,13,1,2,3,1,15,0,15,15,3,0,1,4,GreedyAGENT
2,5,3,3,2,3,4,12,2,1,13,3,4,4,1,14,5,14,0,2,2,3,0,CarefulAGENT
1,4,0,2,11,0,3,13,0,4,14,0,4,5,1,15,0,15,15,3,0,1,2,RandomAGENT
4,4,1,1,5,0,2,15,1,3,15,3,3,6,1,0,15,6,0,0,1,4,0,GreedyAGENT
2,6,2,3,15,2,4,11,2,1,5,2,2,7,1,6,5,14,0,1,1,2,0,CarefulAGENT
3,15,0,4,6,0,1,3,0,2,2,2,1,8,1,3,0,13,0,2,0,1,0,RandomAGENT
3,12,0,4,5,1,1,2,0,2,3,2,2,9,1,2,0,13,0,1,0,1,0,GreedyAGENT
4,14,2,1,13,2,2,4,2,3,12,3,1,10,1,0,0,4,0,0,0,1,0,CortaAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,6,0,2,2,0,3,3,3,4,14,0,4,1,2,0,13,5,6,0,4,2,4,CarefulAGENT
4,13,3,1,4,3,2,12,3,3,6,3,1,2,2,15,15,0,12,5,2,0,2,GreedyAGENT
4,12,2,1,6,2,2,11,0,3,3,2,1,3,2,15,15,0,11,5,2,0,1,CortaAGENT
4,15,2,1,15,3,2,15,1,3,5,2,1,4,2,15,15,0,11,4,2,0,1,CarefulAGENT
4,11,2,1,12,0,2,5,1,3,5,3,1,5,2,15,5,0,11,4,1,0,1,RandomAGENT
4,14,2,1,12,1,2,3,0,3,3,1,1,6,2,15,0,0,11,4,0,0,1,GreedyAGENT
4,11,1,1,14,1,2,15,0,3,13,1,2,7,2,15,0,0,11,3,0,0,1,CortaAGENT
1,13,0,2,4,0,3,2,1,4,4,2,4,8,2,0,4,0,2,0,2,0,1,CarefulAGENT
4,2,2,1,6,1,2,11,3,3,2,3,1,9,2,5,0,0,11,1,0,0,1,RandomAGENT
4,13,2,1,14,3,2,5,0,3,4,1,1,10,2,5,0,0,0,1,0,0,0,GreedyAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,11,0,2,2,0,3,4,0,4,6,2,4,1,2,15,4,2,14,3,1,1,5,CarefulAGENT
4,5,2,1,13,2,2,3,3,3,2,2,2,2,2,14,15,0,13,4,3,0,2,GreedyAGENT
1,12,2,2,3,0,3,15,0,4,15,2,4,3,2,15,4,0,14,2,1,0,5,CortaAGENT
4,14,2,1,3,2,2,11,1,3,4,1,1,4,2,14,15,0,13,3,3,0,1,CarefulAGENT
4,2,1,1,5,1,2,13,1,3,6,3,3,5,2,14,15,0,13,3,2,0,1,RandomAGENT
2,5,0,3,12,0,4,12,1,1,13,0,4,6,2,0,12,4,15,0,2,1,2,GreedyAGENT
1,11,2,2,6,0,3,12,3,4,4,2,1,7,2,0,0,0,14,0,0,0,4,CortaAGENT
1,14,1,2,15,1,3,4,3,4,6,1,2,8,2,0,0,0,14,0,0,0,3,CarefulAGENT
2,13,3,3,14,3,4,5,3,1,11,3,2,9,2,0,0,0,15,0,0,0,2,RandomAGENT
3,2,3,4,15,3,1,3,1,2,14,0,2,10,2,0,3,0,0,0,1,0,0,GreedyAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,4,0,2,5,0,3,2,0,4,13,3,2,1,1,15,0,5,14,5,0,2,3,CarefulAGENT
2,5,3,3,4,3,4,3,3,1,12,3,4,2,1,0,15,14,6,0,2,5,2,RandomAGENT
1,15,2,2,5,1,3,5,2,4,3,2,2,3,1,15,0,5,14,4,0,2,2,GreedyAGENT
2,6,1,3,3,0,4,3,1,1,11,1,4,4,1,0,15,14,6,0,2,4,1,CortaAGENT
1,4,1,2,12,1,3,2,3,4,15,1,4,5,1,15,0,2,14,3,0,1,2,CarefulAGENT
4,6,3,1,4,2,2,15,3,3,14,3,3,6,1,12,14,0,15,1,2,0,2,GreedyAGENT
2,13,1,3,13,0,4,12,2,1,2,1,1,7,1,0,0,14,0,0,0,4,0,CortaAGENT
2,12,0,3,14,0,4,11,2,1,6,0,2,8,1,0,0,14,0,0,0,3,0,CarefulAGENT
3,2,2,4,14,2,1,6,2,2,14,1,4,9,1,11,0,6,0,1,0,1,0,RandomAGENT
2,11,3,3,15,0,4,13,2,1,11,0,1,10,1,0,0,13,0,0,0,1,0,GreedyAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,4,0,2,6,0,3,11,0,4,2,0,3,1,2,14,4,13,14,2,2,2,4,CarefulAGENT
3,5,2,4,15,2,1,14,2,2,12,2,2,2,2,15,5,14,11,2,1,2,4,RandomAGENT
4,6,2,1,2,2,2,3,2,3,13,2,4,3,2,13,15,4,15,1,4,2,1,GreedyAGENT
3,2,1,4,3,1,1,5,1,2,12,1,4,4,2,15,5,0,11,2,1,0,4,CortaAGENT
2,13,1,3,4,1,4,6,1,1,5,3,1,5,2,5,11,11,4,2,2,1,1,CarefulAGENT
2,15,1,3,13,3,4,11,1,1,15,0,1,6,2,5,11,11,4,2,1,1,1,RandomAGENT
2,4,2,3,14,3,4,11,2,1,11,3,3,7,2,5,0,11,4,2,0,1,1,GreedyAGENT
4,3,0,1,12,0,2,13,0,3,14,0,4,8,2,13,14,0,15,1,1,0,1,CarefulAGENT
3,3,3,4,4,3,1,2,3,2,15,3,4,9,2,0,0,0,6,0,0,0,2,RandomAGENT
2,14,1,3,12,3,4,5,0,1,6,3,1,10,2,5,0,0,0,1,0,0,0,GreedyAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,3,3,2,2,3,3,4,3,4,12,3,4,1,1,5,4,15,5,1,2,5,2,CarefulAGENT
4,2,1,1,12,1,2,11,1,3,3,1,2,2,1,15,15,6,13,2,3,2,2,GreedyAGENT
1,13,2,2,4,2,3,3,2,4,12,2,1,3,1,5,4,15,5,1,1,5,1,CarefulAGENT
1,14,1,2,6,1,3,4,1,4,5,1,1,4,1,5,4,15,5,1,1,4,1,GreedyAGENT
1,13,1,2,15,1,3,5,0,4,4,0,2,5,1,5,0,15,5,1,0,4,1,CortaAGENT
2,11,3,3,5,3,4,14,3,1,15,3,4,6,1,13,0,2,14,3,0,1,1,CarefulAGENT
1,3,0,2,15,0,3,15,2,4,12,0,2,7,1,0,0,15,0,0,0,4,0,RandomAGENT
2,13,3,3,5,2,4,6,0,1,6,3,1,8,1,13,0,2,0,2,0,1,0,GreedyAGENT
2,6,2,3,11,2,4,2,2,1,11,0,2,9,1,13,0,2,0,1,0,1,0,CortaAGENT
3,14,2,4,13,0,1,2,0,2,14,0,1,10,1,2,0,0,0,1,0,0,0,CarefulAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,11,0,2,2,0,3,5,0,4,3,0,1,1,3,14,15,15,14,2,3,2,3,CarefulAGENT
1,5,2,2,2,2,3,14,2,4,12,2,3,2,3,14,15,15,14,1,3,2,3,RandomAGENT
3,15,2,4,11,2,1,13,2,2,13,1,1,3,3,15,12,13,0,2,2,4,0,GreedyAGENT
3,2,3,4,15,3,1,15,0,2,13,3,2,4,3,15,12,6,0,2,2,3,0,CortaAGENT
4,12,3,1,12,1,2,6,3,3,4,3,1,5,3,12,14,0,11,2,2,0,2,CarefulAGENT
4,3,3,1,3,2,2,11,3,3,14,3,4,6,3,12,14,0,11,2,2,0,1,GreedyAGENT
3,11,1,4,3,1,1,2,1,2,14,1,4,7,3,13,2,6,0,1,1,2,0,CortaAGENT
2,5,1,3,4,1,4,6,1,1,13,0,3,8,3,6,6,0,5,1,1,0,1,CarefulAGENT
4,5,3,1,4,2,2,12,0,3,14,0,1,9,3,12,0,0,0,2,0,0,0,RandomAGENT
4,6,0,1,6,2,2,4,0,3,15,1,1,10,3,4,0,0,0,1,0,0,0,GreedyAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,11,1,2,5,1,3,3,1,4,2,1,1,1,0,15,14,14,13,2,5,2,1,CarefulAGENT
1,6,3,2,15,3,3,13,3,4,3,3,2,2,0,15,14,14,13,2,4,2,1,GreedyAGENT
2,6,0,3,15,0,4,3,0,1,14,0,2,3,0,11,15,15,0,4,2,2,0,CortaAGENT
3,13,2,4,6,2,1,5,2,2,2,2,1,4,0,13,0,11,14,2,0,2,3,CarefulAGENT
3,14,2,4,15,2,1,11,2,2,3,2,2,5,0,13,0,11,14,2,0,1,3,RandomAGENT
4,11,0,1,13,0,2,12,3,3,12,0,2,6,0,0,0,12,12,0,0,2,3,GreedyAGENT
1,2,0,2,12,2,3,6,1,4,4,0,4,7,0,0,14,0,0,0,4,0,0,CortaAGENT
4,12,1,1,5,3,2,4,2,3,4,1,1,8,0,0,0,4,4,0,0,1,2,CarefulAGENT
4,15,1,1,11,3,2,4,3,3,14,1,1,9,0,0,0,0,4,0,0,0,2,RandomAGENT
4,5,0,1,14,3,2,2,3,3,13,1,1,10,0,0,0,0,2,0,0,0,1,GreedyAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,6,3,2,2,3,3,13,2,4,3,3,1,1,0,14,13,13,0,5,3,2,0,CarefulAGENT
1,5,2,2,14,2,3,11,2,4,3,2,2,2,0,14,13,11,0,5,3,1,0,GreedyAGENT
2,2,0,3,13,0,4,12,0,1,15,0,4,3,0,12,14,0,13,3,2,0,3,CortaAGENT
1,2,2,2,6,2,3,3,0,4,11,0,4,4,0,14,13,0,0,4,3,0,0,CarefulAGENT
4,2,1,1,3,1,2,12,1,3,13,1,4,5,0,0,12,0,14,0,3,0,3,GreedyAGENT
3,4,0,4,6,0,1,15,1,2,12,3,2,6,0,0,15,15,15,0,1,3,1,CortaAGENT
4,13,3,1,15,3,2,11,3,3,5,1,2,7,0,0,6,0,14,0,2,0,2,CarefulAGENT
1,12,2,2,14,3,3,11,1,4,5,3,1,8,0,14,11,0,0,2,1,0,0,RandomAGENT
1,4,2,2,4,1,3,5,0,4,14,1,3,9,0,14,0,0,0,2,0,0,0,GreedyAGENT
3,14,0,4,4,3,1,15,2,2,6,1,1,10,0,0,0,15,0,0,0,1,0,CortaAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,2,3,2,11,3,3,5,3,4,3,3,2,1,2,13,15,15,15,1,3,4,2,CarefulAGENT
2,13,3,3,15,3,4,12,3,1,14,3,2,2,2,5,11,13,12,2,2,3,2,GreedyAGENT
3,4,2,4,12,2,1,2,2,2,14,2,4,3,2,12,5,3,6,4,1,2,1,CortaAGENT
2,2,1,3,13,1,4,6,1,1,5,1,2,4,2,5,11,13,4,2,2,2,1,CarefulAGENT
3,14,1,4,11,1,1,6,3,2,3,1,1,5,2,12,0,3,6,4,0,1,1,RandomAGENT
3,11,2,4,13,2,1,3,2,2,15,0,2,6,2,12,0,3,0,4,0,1,0,GreedyAGENT
4,4,3,1,11,0,2,4,1,3,15,2,4,7,2,14,12,0,0,2,2,0,0,CortaAGENT
3,5,2,4,6,2,1,3,0,2,14,0,2,8,2,12,0,0,0,3,0,0,0,CarefulAGENT
4,4,0,1,12,0,2,2,0,3,13,0,4,9,2,2,12,0,0,1,1,0,0,GreedyAGENT
3,15,1,4,5,0,1,6,0,2,12,1,1,10,2,6,0,0,0,1,0,0,0,CortaAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,3,0,2,12,0,3,2,0,4,5,0,2,1,0,14,4,15,13,3,2,2,3,CarefulAGENT
2,6,2,3,15,2,4,3,2,1,14,2,2,2,0,6,15,4,15,1,4,2,2,GreedyAGENT
3,11,0,4,6,0,1,13,0,2,6,1,3,3,0,15,0,12,14,3,0,3,2,CortaAGENT
1,12,2,2,11,2,3,13,2,4,4,2,3,4,0,14,4,13,13,1,2,1,3,CarefulAGENT
3,13,3,4,15,3,1,14,3,2,2,3,2,5,0,15,0,5,14,2,0,2,2,RandomAGENT
4,12,1,1,4,0,2,14,1,3,2,1,2,6,0,0,14,0,11,0,3,0,2,GreedyAGENT
1,2,2,2,6,3,3,14,0,4,15,1,3,7,0,14,4,0,5,1,1,0,2,CortaAGENT
3,5,3,4,3,3,1,12,3,2,11,3,3,8,0,15,0,5,12,1,0,1,1,CarefulAGENT
1,15,0,2,5,1,3,4,1,4,11,1,1,9,0,0,4,0,4,0,1,0,1,RandomAGENT
1,5,2,2,3,1,3,4,3,4,13,1,1,10,0,0,0,0,4,0,0,0,1,GreedyAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,2,1,2,4,1,3,6,1,4,15,1,4,1,1,4,12,12,4,3,3,3,1,CarefulAGENT
4,14,0,1,6,0,2,15,0,3,3,0,3,2,1,15,14,15,14,2,2,2,3,RandomAGENT
2,14,1,3,12,1,4,11,2,1,3,1,1,3,1,13,0,11,15,3,0,3,2,GreedyAGENT
2,13,1,3,11,1,4,2,3,1,5,1,1,4,1,13,0,5,15,3,0,2,2,CortaAGENT
